category,job_title,Text
Machine Learning,ML Research Intern,"Experienced ML Research Intern with hands-on skills in nlp, numpy, pytorch, pandas. Worked on multiple projects involving nlp and numpy. Strong understanding of pytorch and pandas."
DevOps,Release Engineer,"Release Engineer with a background in ansible, docker, kubernetes, linux. Built projects using ansible, docker and kubernetes. Familiar with linux and team collaboration tools."
Database Administration,SQL Developer,"Experienced SQL Developer with hands-on skills in linux, mongodb, sql, performance tuning. Worked on multiple projects involving linux and mongodb. Strong understanding of sql and performance tuning."
Data Science,Junior Data Scientist,"Junior Data Scientist with a background in excel, matplotlib, data visualization, pandas. Built projects using excel, matplotlib and data visualization. Familiar with pandas and team collaboration tools."
Web Development,Backend Developer,"Motivated Backend Developer skilled in rest api, node.js, mongodb, react. Completed academic and personal projects focused on rest api and node.js. Comfortable working with mongodb."
Web Development,Backend Developer,"Backend Developer candidate with practical exposure to git, javascript, rest api, react. Interested in growing expertise in git and javascript."
Business Analyst,Business Analyst,"Business Analyst candidate with practical exposure to excel, sql, power bi, tableau. Interested in growing expertise in excel and sql."
Web Development,Backend Developer,"Experienced Backend Developer with hands-on skills in css, react, mongodb, javascript. Worked on multiple projects involving css and react. Strong understanding of mongodb and javascript."
Data Science,Data Scientist,"Motivated Data Scientist skilled in python, numpy, excel, data visualization. Completed academic and personal projects focused on python and numpy. Comfortable working with excel."
DevOps,DevOps Engineer,"DevOps Engineer with a background in terraform, linux, aws, kubernetes. Built projects using terraform, linux and aws. Familiar with kubernetes and team collaboration tools."
Android Development,Android Developer,"Experienced Android Developer with hands-on skills in firebase, xml, gradle, kotlin. Worked on multiple projects involving firebase and xml. Strong understanding of gradle and kotlin."
UI/UX Design,Product Designer,"Product Designer with a background in adobe xd, prototyping, wireframing, sketch. Built projects using adobe xd, prototyping and wireframing. Familiar with sketch and team collaboration tools."
Cloud Computing,Cloud Support Associate,"Experienced Cloud Support Associate with hands-on skills in networking, gcp, linux, kubernetes. Worked on multiple projects involving networking and gcp. Strong understanding of linux and kubernetes."
Android Development,Android Developer,"Passionate Android Developer proficient in android studio, firebase, gradle, xml. Contributed to internship projects using android studio, firebase, gradle and xml."
Cloud Computing,AWS Solutions Architect,"Motivated AWS Solutions Architect skilled in docker, networking, terraform, aws. Completed academic and personal projects focused on docker and networking. Comfortable working with terraform."
Machine Learning,ML Research Intern,"ML Research Intern candidate with practical exposure to nlp, deep learning, tensorflow, numpy. Interested in growing expertise in nlp and deep learning."
Data Science,Junior Data Scientist,"Passionate Junior Data Scientist proficient in sql, python, matplotlib, excel. Contributed to internship projects using sql, python, matplotlib and excel."
Database Administration,Data Engineer,"Passionate Data Engineer proficient in linux, postgresql, mysql, performance tuning. Contributed to internship projects using linux, postgresql, mysql and performance tuning."
Machine Learning,AI Engineer,
Web Development,Full Stack Developer,"Experienced Full Stack Developer with hands-on skills in node.js, git, react, html. Worked on multiple projects involving node.js and git. Strong understanding of react and html."
Database Administration,SQL Developer,"SQL Developer with a background in sql, postgresql, performance tuning, mongodb. Built projects using sql, postgresql and performance tuning. Familiar with mongodb and team collaboration tools."
Android Development,Android Developer,"Android Developer with a background in gradle, firebase, android studio, sqlite. Built projects using gradle, firebase and android studio. Familiar with sqlite and team collaboration tools."
Android Development,Mobile App Developer,"Passionate Mobile App Developer proficient in gradle, android studio, sqlite, java. Contributed to internship projects using gradle, android studio, sqlite and java."
UI/UX Design,UI Designer,"UI Designer with a background in css, adobe xd, prototyping, wireframing. Built projects using css, adobe xd and prototyping. Familiar with wireframing and team collaboration tools."
Web Development,Backend Developer,"Experienced Backend Developer with hands-on skills in node.js, mongodb, html, react. Worked on multiple projects involving node.js and mongodb. Strong understanding of html and react."
Cyber Security,SOC Analyst,"Motivated SOC Analyst skilled in firewalls, cryptography, linux, network security. Completed academic and personal projects focused on firewalls and cryptography. Comfortable working with linux."
Machine Learning,ML Research Intern,"Experienced ML Research Intern with hands-on skills in nlp, deep learning, scikit-learn, python. Worked on multiple projects involving nlp and deep learning. Strong understanding of scikit-learn and python."
UI/UX Design,Product Designer,"Motivated Product Designer skilled in sketch, prototyping, figma, adobe xd. Completed academic and personal projects focused on sketch and prototyping. Comfortable working with figma."
Data Science,Data Scientist,"Motivated Data Scientist skilled in matplotlib, python, excel, pandas. Completed academic and personal projects focused on matplotlib and python. Comfortable working with excel."
Business Analyst,Business Analyst,"Passionate Business Analyst proficient in requirement gathering, power bi, communication, jira. Contributed to internship projects using requirement gathering, power bi, communication and jira."
Database Administration,Data Engineer,"Data Engineer with a background in mongodb, performance tuning, sql, linux. Built projects using mongodb, performance tuning and sql. Familiar with linux and team collaboration tools."
Database Administration,SQL Developer,"Motivated SQL Developer skilled in sql, performance tuning, postgresql, mysql. Completed academic and personal projects focused on sql and performance tuning. Comfortable working with postgresql."
UI/UX Design,UX Researcher,"UX Researcher with a background in css, wireframing, figma, sketch. Built projects using css, wireframing and figma. Familiar with sketch and team collaboration tools."
Business Analyst,Requirements Analyst,"Motivated Requirements Analyst skilled in excel, requirement gathering, power bi, sql. Completed academic and personal projects focused on excel and requirement gathering. Comfortable working with power bi."
Web Development,Backend Developer,"Experienced Backend Developer with hands-on skills in react, rest api, git, node.js. Worked on multiple projects involving react and rest api. Strong understanding of git and node.js."
Data Science,Data Scientist,"Motivated Data Scientist skilled in statistics, pandas, sql, excel. Completed academic and personal projects focused on statistics and pandas. Comfortable working with sql."
Web Development,Full Stack Developer,"Full Stack Developer with a background in react, git, css, javascript. Built projects using react, git and css. Familiar with javascript and team collaboration tools."
Android Development,Android Developer,"Motivated Android Developer skilled in gradle, kotlin, sqlite, android studio. Completed academic and personal projects focused on gradle and kotlin. Comfortable working with sqlite."
Android Development,Android Developer,"Experienced Android Developer with hands-on skills in kotlin, java, android studio, gradle. Worked on multiple projects involving kotlin and java. Strong understanding of android studio and gradle."
Database Administration,SQL Developer,"Experienced SQL Developer with hands-on skills in mysql, postgresql, sql, linux. Worked on multiple projects involving mysql and postgresql. Strong understanding of sql and linux."
DevOps,Release Engineer,"Experienced Release Engineer with hands-on skills in kubernetes, ci/cd, terraform, jenkins. Worked on multiple projects involving kubernetes and ci/cd. Strong understanding of terraform and jenkins."
Business Analyst,Requirements Analyst,"Experienced Requirements Analyst with hands-on skills in requirement gathering, communication, sql, excel. Worked on multiple projects involving requirement gathering and communication. Strong understanding of sql and excel."
Business Analyst,Product Analyst,"Passionate Product Analyst proficient in tableau, excel, jira, requirement gathering. Contributed to internship projects using tableau, excel, jira and requirement gathering."
DevOps,Site Reliability Engineer,"Experienced Site Reliability Engineer with hands-on skills in ansible, aws, ci/cd, docker. Worked on multiple projects involving ansible and aws. Strong understanding of ci/cd and docker."
Web Development,Backend Developer,"Backend Developer candidate with practical exposure to javascript, html, css, mongodb. Interested in growing expertise in javascript and html."
Database Administration,Data Engineer,"Data Engineer candidate with practical exposure to backup recovery, performance tuning, postgresql, mongodb. Interested in growing expertise in backup recovery and performance tuning."
Database Administration,Data Engineer,"Motivated Data Engineer skilled in mongodb, backup recovery, performance tuning, linux. Completed academic and personal projects focused on mongodb and backup recovery. Comfortable working with performance tuning."
Web Development,Full Stack Developer,"Experienced Full Stack Developer with hands-on skills in react, mongodb, git, css. Worked on multiple projects involving react and mongodb. Strong understanding of git and css."
DevOps,Site Reliability Engineer,"Passionate Site Reliability Engineer proficient in terraform, ci/cd, aws, docker. Contributed to internship projects using terraform, ci/cd, aws and docker."
Cyber Security,Penetration Tester,"Motivated Penetration Tester skilled in python, linux, siem, penetration testing. Completed academic and personal projects focused on python and linux. Comfortable working with siem."
UI/UX Design,UI Designer,"Experienced UI Designer with hands-on skills in css, figma, sketch, prototyping. Worked on multiple projects involving css and figma. Strong understanding of sketch and prototyping."
Web Development,Full Stack Developer,"Motivated Full Stack Developer skilled in javascript, node.js, html, git. Completed academic and personal projects focused on javascript and node.js. Comfortable working with html."
Business Analyst,Requirements Analyst,"Motivated Requirements Analyst skilled in tableau, excel, requirement gathering, power bi. Completed academic and personal projects focused on tableau and excel. Comfortable working with requirement gathering."
DevOps,Release Engineer,"Experienced Release Engineer with hands-on skills in linux, ansible, jenkins, aws. Worked on multiple projects involving linux and ansible. Strong understanding of jenkins and aws."
Web Development,Full Stack Developer,"Full Stack Developer candidate with practical exposure to react, css, rest api, mongodb. Interested in growing expertise in react and css."
Machine Learning,Machine Learning Engineer,"Motivated Machine Learning Engineer skilled in nlp, python, tensorflow, deep learning. Completed academic and personal projects focused on nlp and python. Comfortable working with tensorflow."
Machine Learning,ML Research Intern,"ML Research Intern candidate with practical exposure to python, deep learning, nlp, tensorflow. Interested in growing expertise in python and deep learning."
Data Science,Data Scientist,"Motivated Data Scientist skilled in sql, numpy, excel, python. Completed academic and personal projects focused on sql and numpy. Comfortable working with excel."
Android Development,Android Developer,"Android Developer candidate with practical exposure to sqlite, xml, java, kotlin. Interested in growing expertise in sqlite and xml."
Data Science,Data Scientist,"Data Scientist candidate with practical exposure to statistics, matplotlib, excel, data visualization. Interested in growing expertise in statistics and matplotlib."
Cyber Security,Security Analyst,
Data Science,Data Scientist,"Data Scientist with a background in python, data visualization, matplotlib, numpy. Built projects using python, data visualization and matplotlib. Familiar with numpy and team collaboration tools."
UI/UX Design,Product Designer,"Passionate Product Designer proficient in prototyping, user research, css, sketch. Contributed to internship projects using prototyping, user research, css and sketch."
Cloud Computing,Cloud Engineer,"Cloud Engineer candidate with practical exposure to azure, gcp, docker, aws. Interested in growing expertise in azure and gcp."
Cloud Computing,Cloud Support Associate,"Cloud Support Associate candidate with practical exposure to networking, kubernetes, linux, gcp. Interested in growing expertise in networking and kubernetes."
Data Science,Data Scientist,"Passionate Data Scientist proficient in python, matplotlib, pandas, numpy. Contributed to internship projects using python, matplotlib, pandas and numpy."
Machine Learning,Machine Learning Engineer,"Motivated Machine Learning Engineer skilled in deep learning, tensorflow, python, nlp. Completed academic and personal projects focused on deep learning and tensorflow. Comfortable working with python."
UI/UX Design,Product Designer,"Passionate Product Designer proficient in adobe xd, css, prototyping, sketch. Contributed to internship projects using adobe xd, css, prototyping and sketch."
Business Analyst,Requirements Analyst,"Motivated Requirements Analyst skilled in excel, requirement gathering, jira, tableau. Completed academic and personal projects focused on excel and requirement gathering. Comfortable working with jira."
Data Science,Data Analyst,"Experienced Data Analyst with hands-on skills in data visualization, sql, statistics, excel. Worked on multiple projects involving data visualization and sql. Strong understanding of statistics and excel."
DevOps,Release Engineer,"Passionate Release Engineer proficient in linux, docker, ci/cd, terraform. Contributed to internship projects using linux, docker, ci/cd and terraform."
Cyber Security,Security Analyst,"Security Analyst candidate with practical exposure to cryptography, python, linux, network security. Interested in growing expertise in cryptography and python."
DevOps,DevOps Engineer,"DevOps Engineer with a background in terraform, linux, ci/cd, ansible. Built projects using terraform, linux and ci/cd. Familiar with ansible and team collaboration tools."
Web Development,Backend Developer,"Motivated Backend Developer skilled in rest api, css, javascript, git. Completed academic and personal projects focused on rest api and css. Comfortable working with javascript."
Web Development,Full Stack Developer,"Experienced Full Stack Developer with hands-on skills in react, git, javascript, rest api. Worked on multiple projects involving react and git. Strong understanding of javascript and rest api."
Android Development,Android Developer,"Experienced Android Developer with hands-on skills in kotlin, android studio, gradle, firebase. Worked on multiple projects involving kotlin and android studio. Strong understanding of gradle and firebase."
Database Administration,Database Administrator,"Experienced Database Administrator with hands-on skills in mysql, performance tuning, mongodb, backup recovery. Worked on multiple projects involving mysql and performance tuning. Strong understanding of mongodb and backup recovery."
Database Administration,Data Engineer,"Passionate Data Engineer proficient in performance tuning, backup recovery, linux, postgresql. Contributed to internship projects using performance tuning, backup recovery, linux and postgresql."
Cyber Security,Security Analyst,"Passionate Security Analyst proficient in network security, cryptography, python, linux. Contributed to internship projects using network security, cryptography, python and linux."
Cloud Computing,Cloud Support Associate,"Experienced Cloud Support Associate with hands-on skills in linux, kubernetes, aws, gcp. Worked on multiple projects involving linux and kubernetes. Strong understanding of aws and gcp."
UI/UX Design,UX Researcher,"Experienced UX Researcher with hands-on skills in figma, wireframing, sketch, css. Worked on multiple projects involving figma and wireframing. Strong understanding of sketch and css."
Web Development,Full Stack Developer,"Full Stack Developer candidate with practical exposure to git, react, node.js, rest api. Interested in growing expertise in git and react."
Data Science,Data Analyst,"Data Analyst candidate with practical exposure to statistics, numpy, sql, matplotlib. Interested in growing expertise in statistics and numpy."
Business Analyst,Business Analyst,"Experienced Business Analyst with hands-on skills in requirement gathering, excel, power bi, tableau. Worked on multiple projects involving requirement gathering and excel. Strong understanding of power bi and tableau."
Business Analyst,Requirements Analyst,"Requirements Analyst with a background in excel, sql, requirement gathering, communication. Built projects using excel, sql and requirement gathering. Familiar with communication and team collaboration tools."
Business Analyst,Requirements Analyst,"Requirements Analyst candidate with practical exposure to sql, power bi, tableau, communication. Interested in growing expertise in sql and power bi."
DevOps,Site Reliability Engineer,"Motivated Site Reliability Engineer skilled in docker, terraform, aws, jenkins. Completed academic and personal projects focused on docker and terraform. Comfortable working with aws."
Web Development,Backend Developer,"Experienced Backend Developer with hands-on skills in git, javascript, mongodb, node.js. Worked on multiple projects involving git and javascript. Strong understanding of mongodb and node.js."
Android Development,Mobile App Developer,"Experienced Mobile App Developer with hands-on skills in firebase, sqlite, kotlin, android studio. Worked on multiple projects involving firebase and sqlite. Strong understanding of kotlin and android studio."
Cloud Computing,Cloud Support Associate,"Passionate Cloud Support Associate proficient in gcp, kubernetes, linux, aws. Contributed to internship projects using gcp, kubernetes, linux and aws."
Cloud Computing,Cloud Support Associate,"Passionate Cloud Support Associate proficient in linux, terraform, azure, kubernetes. Contributed to internship projects using linux, terraform, azure and kubernetes."
Web Development,Full Stack Developer,"Passionate Full Stack Developer proficient in rest api, html, javascript, mongodb. Contributed to internship projects using rest api, html, javascript and mongodb."
Android Development,Android Developer,"Motivated Android Developer skilled in gradle, xml, kotlin, firebase. Completed academic and personal projects focused on gradle and xml. Comfortable working with kotlin."
Android Development,Android Developer,"Experienced Android Developer with hands-on skills in android studio, java, firebase, sqlite. Worked on multiple projects involving android studio and java. Strong understanding of firebase and sqlite."
Cyber Security,SOC Analyst,"SOC Analyst with a background in firewalls, cryptography, penetration testing, siem. Built projects using firewalls, cryptography and penetration testing. Familiar with siem and team collaboration tools."
Android Development,Android Developer,"Passionate Android Developer proficient in java, xml, android studio, kotlin. Contributed to internship projects using java, xml, android studio and kotlin."
UI/UX Design,Product Designer,"Motivated Product Designer skilled in css, sketch, prototyping, adobe xd. Completed academic and personal projects focused on css and sketch. Comfortable working with prototyping."
Business Analyst,Business Analyst,"Motivated Business Analyst skilled in jira, requirement gathering, sql, power bi. Completed academic and personal projects focused on jira and requirement gathering. Comfortable working with sql."
Database Administration,SQL Developer,"Passionate SQL Developer proficient in linux, postgresql, mongodb, backup recovery. Contributed to internship projects using linux, postgresql, mongodb and backup recovery."
Android Development,Android Developer,"Android Developer candidate with practical exposure to kotlin, android studio, java, xml. Interested in growing expertise in kotlin and android studio."
Cyber Security,SOC Analyst,"Experienced SOC Analyst with hands-on skills in python, firewalls, network security, linux. Worked on multiple projects involving python and firewalls. Strong understanding of network security and linux."
Web Development,Frontend Developer,"Motivated Frontend Developer skilled in mongodb, node.js, css, react. Completed academic and personal projects focused on mongodb and node.js. Comfortable working with css."
Web Development,Frontend Developer,"Passionate Frontend Developer proficient in rest api, html, react, git. Contributed to internship projects using rest api, html, react and git."
DevOps,Release Engineer,"Motivated Release Engineer skilled in ci/cd, ansible, docker, jenkins. Completed academic and personal projects focused on ci/cd and ansible. Comfortable working with docker."
Machine Learning,Machine Learning Engineer,"Motivated Machine Learning Engineer skilled in scikit-learn, pandas, nlp, tensorflow. Completed academic and personal projects focused on scikit-learn and pandas. Comfortable working with nlp."
Android Development,Android Developer,"Experienced Android Developer with hands-on skills in android studio, xml, kotlin, sqlite. Worked on multiple projects involving android studio and xml. Strong understanding of kotlin and sqlite."
UI/UX Design,Product Designer,"Experienced Product Designer with hands-on skills in figma, css, wireframing, adobe xd. Worked on multiple projects involving figma and css. Strong understanding of wireframing and adobe xd."
Android Development,Mobile App Developer,"Experienced Mobile App Developer with hands-on skills in gradle, android studio, kotlin, sqlite. Worked on multiple projects involving gradle and android studio. Strong understanding of kotlin and sqlite."
Web Development,Frontend Developer,"Frontend Developer with a background in git, rest api, node.js, react. Built projects using git, rest api and node.js. Familiar with react and team collaboration tools."
Web Development,Frontend Developer,"Passionate Frontend Developer proficient in html, rest api, node.js, git. Contributed to internship projects using html, rest api, node.js and git."
Machine Learning,AI Engineer,"AI Engineer with a background in deep learning, pytorch, python, numpy. Built projects using deep learning, pytorch and python. Familiar with numpy and team collaboration tools."
Cyber Security,Security Analyst,"Security Analyst candidate with practical exposure to cryptography, penetration testing, network security, linux. Interested in growing expertise in cryptography and penetration testing."
Web Development,Full Stack Developer,"Full Stack Developer candidate with practical exposure to html, react, git, mongodb. Interested in growing expertise in html and react."
DevOps,Site Reliability Engineer,"Motivated Site Reliability Engineer skilled in docker, jenkins, ansible, terraform. Completed academic and personal projects focused on docker and jenkins. Comfortable working with ansible."
Machine Learning,AI Engineer,"Experienced AI Engineer with hands-on skills in nlp, scikit-learn, python, tensorflow. Worked on multiple projects involving nlp and scikit-learn. Strong understanding of python and tensorflow."
Business Analyst,Product Analyst,"Product Analyst with a background in jira, tableau, requirement gathering, communication. Built projects using jira, tableau and requirement gathering. Familiar with communication and team collaboration tools."
Android Development,Android Developer,"Experienced Android Developer with hands-on skills in sqlite, xml, java, android studio. Worked on multiple projects involving sqlite and xml. Strong understanding of java and android studio."
Machine Learning,Machine Learning Engineer,"Machine Learning Engineer with a background in python, tensorflow, pandas, deep learning. Built projects using python, tensorflow and pandas. Familiar with deep learning and team collaboration tools."
DevOps,Release Engineer,"Passionate Release Engineer proficient in linux, docker, aws, kubernetes. Contributed to internship projects using linux, docker, aws and kubernetes."
Cloud Computing,AWS Solutions Architect,
DevOps,Site Reliability Engineer,"Passionate Site Reliability Engineer proficient in terraform, jenkins, kubernetes, ci/cd. Contributed to internship projects using terraform, jenkins, kubernetes and ci/cd."
UI/UX Design,UX Researcher,"UX Researcher candidate with practical exposure to wireframing, figma, prototyping, sketch. Interested in growing expertise in wireframing and figma."
DevOps,Release Engineer,"Release Engineer with a background in linux, jenkins, docker, aws. Built projects using linux, jenkins and docker. Familiar with aws and team collaboration tools."
Cyber Security,SOC Analyst,"Motivated SOC Analyst skilled in linux, cryptography, firewalls, python. Completed academic and personal projects focused on linux and cryptography. Comfortable working with firewalls."
Android Development,Mobile App Developer,"Motivated Mobile App Developer skilled in xml, java, android studio, gradle. Completed academic and personal projects focused on xml and java. Comfortable working with android studio."
Cloud Computing,Cloud Support Associate,"Experienced Cloud Support Associate with hands-on skills in azure, linux, terraform, docker. Worked on multiple projects involving azure and linux. Strong understanding of terraform and docker."
Cyber Security,SOC Analyst,"SOC Analyst with a background in network security, penetration testing, firewalls, cryptography. Built projects using network security, penetration testing and firewalls. Familiar with cryptography and team collaboration tools."
Data Science,Data Scientist,"Experienced Data Scientist with hands-on skills in statistics, excel, data visualization, numpy. Worked on multiple projects involving statistics and excel. Strong understanding of data visualization and numpy."
Cyber Security,Penetration Tester,"Penetration Tester candidate with practical exposure to network security, firewalls, penetration testing, cryptography. Interested in growing expertise in network security and firewalls."
Cyber Security,Penetration Tester,"Passionate Penetration Tester proficient in siem, network security, firewalls, penetration testing. Contributed to internship projects using siem, network security, firewalls and penetration testing."
Business Analyst,Product Analyst,"Passionate Product Analyst proficient in power bi, tableau, jira, sql. Contributed to internship projects using power bi, tableau, jira and sql."
Web Development,Frontend Developer,"Frontend Developer with a background in mongodb, node.js, react, git. Built projects using mongodb, node.js and react. Familiar with git and team collaboration tools."
Web Development,Backend Developer,"Motivated Backend Developer skilled in mongodb, css, node.js, javascript. Completed academic and personal projects focused on mongodb and css. Comfortable working with node.js."
UI/UX Design,UI Designer,"Experienced UI Designer with hands-on skills in adobe xd, figma, prototyping, css. Worked on multiple projects involving adobe xd and figma. Strong understanding of prototyping and css."
UI/UX Design,UI Designer,"Motivated UI Designer skilled in sketch, wireframing, figma, css. Completed academic and personal projects focused on sketch and wireframing. Comfortable working with figma."
Cloud Computing,Cloud Engineer,"Cloud Engineer with a background in linux, kubernetes, azure, aws. Built projects using linux, kubernetes and azure. Familiar with aws and team collaboration tools."
Machine Learning,Machine Learning Engineer,"Machine Learning Engineer with a background in numpy, python, tensorflow, deep learning. Built projects using numpy, python and tensorflow. Familiar with deep learning and team collaboration tools."
Database Administration,SQL Developer,"Passionate SQL Developer proficient in linux, backup recovery, mysql, sql. Contributed to internship projects using linux, backup recovery, mysql and sql."
Web Development,Backend Developer,"Passionate Backend Developer proficient in mongodb, node.js, react, rest api. Contributed to internship projects using mongodb, node.js, react and rest api."
Database Administration,Database Administrator,"Database Administrator with a background in postgresql, performance tuning, sql, mongodb. Built projects using postgresql, performance tuning and sql. Familiar with mongodb and team collaboration tools."
UI/UX Design,Product Designer,"Product Designer candidate with practical exposure to wireframing, adobe xd, user research, sketch. Interested in growing expertise in wireframing and adobe xd."
Android Development,Mobile App Developer,"Mobile App Developer candidate with practical exposure to gradle, java, sqlite, kotlin. Interested in growing expertise in gradle and java."
Cloud Computing,Cloud Engineer,"Cloud Engineer with a background in linux, networking, azure, gcp. Built projects using linux, networking and azure. Familiar with gcp and team collaboration tools."
Business Analyst,Product Analyst,"Experienced Product Analyst with hands-on skills in power bi, sql, communication, jira. Worked on multiple projects involving power bi and sql. Strong understanding of communication and jira."
Android Development,Mobile App Developer,"Mobile App Developer candidate with practical exposure to firebase, java, gradle, kotlin. Interested in growing expertise in firebase and java."
Database Administration,Data Engineer,"Data Engineer with a background in mysql, performance tuning, backup recovery, postgresql. Built projects using mysql, performance tuning and backup recovery. Familiar with postgresql and team collaboration tools."
Data Science,Data Scientist,"Motivated Data Scientist skilled in statistics, pandas, sql, excel. Completed academic and personal projects focused on statistics and pandas. Comfortable working with sql."
Android Development,Android Developer,"Android Developer candidate with practical exposure to android studio, java, kotlin, sqlite. Interested in growing expertise in android studio and java."
Database Administration,SQL Developer,"Motivated SQL Developer skilled in sql, performance tuning, postgresql, mysql. Completed academic and personal projects focused on sql and performance tuning. Comfortable working with postgresql."
Data Science,Data Scientist,"Data Scientist candidate with practical exposure to statistics, matplotlib, excel, data visualization. Interested in growing expertise in statistics and matplotlib."
Cloud Computing,AWS Solutions Architect,"AWS Solutions Architect with a background in azure, gcp, docker, networking. Built projects using azure, gcp and docker. Familiar with networking and team collaboration tools."
Machine Learning,ML Research Intern,"Experienced ML Research Intern with hands-on skills in tensorflow, scikit-learn, pandas, deep learning. Worked on multiple projects involving tensorflow and scikit-learn. Strong understanding of pandas and deep learning."
Android Development,Mobile App Developer,"Passionate Mobile App Developer proficient in gradle, android studio, sqlite, java. Contributed to internship projects using gradle, android studio, sqlite and java."
Machine Learning,ML Research Intern,"ML Research Intern candidate with practical exposure to nlp, pytorch, pandas, numpy. Interested in growing expertise in nlp and pytorch."
